MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
,226,4.161296262,,30,11.36363636,,301,6.180698152,,23,5.215419501,,24,5.042016807,,303,5.564738292,,55,5.27325024,,18,8.035714286,,10,5.882352941,,149,7.001879699,,,,,,,,,,,,,,,,
,178,3.277481127,,10,3.787878788,,201,4.127310062,,23,5.215419501,,23,4.831932773,,199,3.654729109,,54,5.177372963,,15,6.696428571,,9,5.294117647,,105,4.934210526,,,,,,,,,,,,,,,,
,173,3.18541705,,9,3.409090909,,195,4.004106776,,16,3.628117914,,22,4.621848739,,193,3.544536272,,40,3.835091083,,13,5.803571429,,8,4.705882353,,97,4.558270677,,,,,,,,,,,,,,,,
,154,2.835573559,,7,2.651515152,,167,3.429158111,,14,3.174603175,,19,3.991596639,,187,3.434343434,,40,3.835091083,,10,4.464285714,,8,4.705882353,,78,3.665413534,,,,,,,,,,,,,,,,
,141,2.59620696,,7,2.651515152,,164,3.367556468,,13,2.947845805,,18,3.781512605,,179,3.287419651,,34,3.259827421,,9,4.017857143,,7,4.117647059,,64,3.007518797,,,,,,,,,,,,,,,,
,117,2.154299392,,7,2.651515152,,122,2.50513347,,13,2.947845805,,17,3.571428571,,144,2.644628099,,30,2.876318313,,9,4.017857143,,6,3.529411765,,49,2.302631579,,,,,,,,,,,,,,,,
,116,2.135886577,,7,2.651515152,,113,2.320328542,,12,2.721088435,,16,3.361344538,,88,1.616161616,,29,2.780441035,,8,3.571428571,,6,3.529411765,,45,2.114661654,,,,,,,,,,,,,,,,
,116,2.135886577,,6,2.272727273,,102,2.094455852,,11,2.494331066,,16,3.361344538,,83,1.524334252,,27,2.588686481,,8,3.571428571,,6,3.529411765,,42,1.973684211,,,,,,,,,,,,,,,,
,86,1.583502117,,6,2.272727273,,78,1.60164271,,10,2.267573696,,14,2.941176471,,78,1.432506887,,24,2.30105465,,6,2.678571429,,5,2.941176471,,41,1.926691729,,,,,,,,,,,,,,,,
,82,1.509850856,,6,2.272727273,,74,1.519507187,,9,2.040816327,,13,2.731092437,,71,1.303948577,,23,2.205177373,,6,2.678571429,,5,2.941176471,,39,1.832706767,,,,,,,,,,,,,,,,
,77,1.41778678,,6,2.272727273,,74,1.519507187,,9,2.040816327,,13,2.731092437,,70,1.285583104,,22,2.109300096,,5,2.232142857,,5,2.941176471,,37,1.738721805,,,,,,,,,,,,,,,,
,72,1.325722703,,5,1.893939394,,72,1.478439425,,8,1.814058957,,12,2.521008403,,69,1.267217631,,21,2.013422819,,5,2.232142857,,5,2.941176471,,36,1.691729323,,,,,,,,,,,,,,,,
,72,1.325722703,,5,1.893939394,,65,1.334702259,,8,1.814058957,,12,2.521008403,,68,1.248852158,,18,1.725790988,,5,2.232142857,,5,2.941176471,,35,1.644736842,,,,,,,,,,,,,,,,
,70,1.288897072,,5,1.893939394,,65,1.334702259,,8,1.814058957,,11,2.31092437,,67,1.230486685,,16,1.534036433,,5,2.232142857,,4,2.352941176,,30,1.409774436,,,,,,,,,,,,,,,,
,70,1.288897072,,5,1.893939394,,60,1.232032854,,8,1.814058957,,11,2.31092437,,63,1.157024793,,16,1.534036433,,4,1.785714286,,4,2.352941176,,29,1.362781955,,,,,,,,,,,,,,,,
